agenda,kategori_harian_id,user_id,status,detail_kerja,poin,date
koordinasi spv kemitraan jabar,1.0,15.0,Selesai,Pengecekan terkait perbaikan ruko tritan,2.0,2025-02-03
Update spreadsheet Waiting List dan Data Maintenance,3.0,9.0,Selesai,update pekerjaan harian teknisi yang sudah selesai dan masih terpending ,2.0,2025-02-03
monitoring ke group komplen ,3.0,9.0,Selesai,bales chat yang masuk ke group komplen maupun request,2.0,2025-02-03
koordinasi kerusakan HO,1.0,9.0,Selesai,sudah koordinasi kerusakan lantai di depan cs ho yang di kerjakan hari minggu ,2.0,2025-02-03
pembuatan gambar ruang pic cibeurum ,,9.0,Selesai,pembuatan gambar untuk ruang PIC,2.0,2025-02-03
pembuatan rab cibeurum ,,9.0,Selesai,pembuatan rab untuk ruangan pic,2.0,2025-02-03
pengecekan area HO ,1.0,9.0,Selesai,pengecekaan hasil perbaikan kanopi ,2.0,2025-02-03
serah terima barang dari aset,3.0,9.0,Selesai,serah terima lampu 2 pcs untuk kantor HO dari aset ,2.0,2025-02-03
perbaikan lampu PJU ,3.0,9.0,Selesai,membantu perbaikan lampu PJU di HO ,2.0,2025-02-03
memo kerusakan kipas angin di ho ,3.0,9.0,Selesai,membuat kerusakan memo kipas angim di HO di ruang security ,2.0,2025-02-03
Monitoring grup CS dan OB,3.0,17.0,Selesai,,2.0,2025-02-03
Kordinasi dengan Tim dan divisi lain terkait pengantaran berkas dan Barang,3.0,17.0,Selesai,div media penitipan barang untuk konten pekanan,2.0,2025-02-03
Update data ceklisan di spredshet,3.0,17.0,Selesai,ceklisan OB dan SC,2.0,2025-02-03
Inspeksi Area kantor TSP,1.0,17.0,Selesai,"Pengecekan kerusakan,Kebersihan,dan kebutuhan kantor",2.0,2025-02-03
serah terima barang dari aset,3.0,17.0,Selesai,"serah terima kanebo 5 pcs,lap serbet 5 pcs,dan 1 set alat pel",2.0,2025-02-03
kordinasi dengan Div Lain terkait pengajuan konsumsi meeting,3.0,17.0,Selesai,dengan tim Busdev untuk meeting dengan Vendor Cimory,2.0,2025-02-03
Kordinasi dengan div finance,3.0,17.0,Selesai,untuk pengajuan konsumsi meeting Direksi,2.0,2025-02-03
Kordinasi dengan Tim aset terkait Service motor X-Ride,1.0,17.0,Selesai,Penjadwalan Service motor X-ride di Hari Sabtu,2.0,2025-02-03
Kordinasi Dengan Tim OB dan CS Terkait kebersihan dan Kebutuhan kantor,3.0,17.0,Selesai,"Kebersihan  Lorong belakang,dan pengecekan selokan,Kebutuhan Pengharum ruangan",2.0,2025-02-03
koordinasi spv poultry,1.0,15.0,Selesai,pemakaian ruang meeting untuk vendor,2.0,2025-02-04
serah terima barang,1.0,15.0,Selesai,"serah terima barang kebutuah perbaikan mesin tepung(oli gear,vanbelt,laher)))",2.0,2025-02-04
diskusi terkait point KPI,,15.0,Selesai,konsultasi terkait skema KPI ,2.0,2025-02-04
koordinasi spv operasional sumatra,,15.0,Progres,naik daya stokis bukit tinggi masuk tahap pembayaran,2.0,2025-02-04
koordinasi pengajuan service,1.0,15.0,Selesai,koordinasi pengajuan service ke aset,2.0,2025-02-04
update timeline proyek,,15.0,Selesai,"timeline proyek sekat cibereum,bandung",2.0,2025-02-04
koordinasi po finance,1.0,15.0,Selesai,pembelian material kebutuhan proyek service,2.0,2025-02-04
evaluasi perubahan status cleaning service,1.0,15.0,Selesai,evaluasi perpanjangan cleaning service an tamim,2.0,2025-02-04
Koordinasi serah terima barang ,3.0,9.0,Selesai,serah terima kursi dan kunci blaz,2.0,2025-02-04
Update spreadsheet Waiting List dan Data Maintenance,3.0,9.0,Selesai,update pekerjaan harian teknisi yang sudah selesai dan masih terpending ,2.0,2025-02-04
monitoring ke group komplen ,3.0,9.0,Selesai,bales chat yang masuk ke group komplen maupun request,2.0,2025-02-04
koordinasi bersama pic ob ,3.0,9.0,Selesai,koordinasi terkait job ob dan cs untuk di ajarkan ke ob dan cs di bandung ,2.0,2025-02-04
koordinasi proyek bandung ,3.0,9.0,Selesai,koordinasi terkeait proyek bandung bersama sm dan spv,2.0,2025-02-04
kooordinasi bersama tim aset ,3.0,9.0,Selesai,koordinasi terkait pengajuan barang untuk perbaikan lantai blast di kantor ho ,2.0,2025-02-04
koordinasi bersama tim security dan tim IT,,9.0,Selesai,"Koordinasi terkait proyek ruangan cctv di kantor tsp ,pengajuan barang yang di butuhkan ",2.0,2025-02-04
koordinasi sama tim yang di bandung ,3.0,9.0,Selesai,koordinasi tentang kerusakan yang ada di kantor bandung ,2.0,2025-02-04
pengecekan area kantor Ho ,1.0,9.0,Selesai,pengecekan perbaikan pintu cs di ho,2.0,2025-02-04
pengecekan area kantor ciberum ,1.0,9.0,Selesai,pengecekan dan koordinasi sama spv produksi,2.0,2025-02-04
Kordinasi dengan PiC Maintenance ,3.0,17.0,Selesai,kordinasi terkait jobdesk OB dan Cleaning Service Untuk mengajarkan SOP di bandung,2.0,2025-02-04
Kordinasi dengan Tim OB dan divisi lain terkait pengantaran berkas dan Barang,3.0,17.0,Selesai,"kordinasi dengan Tim Rnd terkait pengambilan sampel dan saos,kordinasi dengan tim OB terkait berkas Urgen",2.0,2025-02-04
Monitoring grup CS dan OB,3.0,17.0,Selesai,monitoring pengerjaan Area kantor dan Ceklisan,2.0,2025-02-04
Kordinasi dengan Admin terkait pengajuan Barang,3.0,17.0,Selesai,"Pengajuan kebutuhan tim OB dan Cs Panci,Prostex,Filter air,gelas,pengharum Ruangan,engsel cover tutup closet ",2.0,2025-02-04
Kordinasi dengan div finance,3.0,17.0,Selesai,kordinasi terkait LPJ Konsumsi dan makan siang Meeting Direksi ,2.0,2025-02-04
Kordinasi dengan Tim aset,1.0,17.0,Selesai,"Kordinasi terkait penjadwalan untuk pengecekan motor x-ride,kordinasi pengadaan Rutin sarpras untuk  kopi liong (karena permintaan yang sering)",2.0,2025-02-04
Standby Meeting Direksi,3.0,17.0,Selesai,"standby untuk Kebutuhan Meeting snak,makan siang,Air minum dll",2.0,2025-02-04
Kordinasi dengan Tim Teknisi,3.0,17.0,Selesai,"krdinasi untuk barang pengajuan,dan pengerjaan selang wastafel kemitraan dan pintu kamar mandi kantor TSP ",2.0,2025-02-04
pemasangan handle pintu cs ,3.0,1.0,Selesai,pergantian handle baru pintu cs  dikarena yang lamna sudah patah ,2.0,2025-02-04
pergantian lampu ,3.0,2.0,Selesai,pergantian lampu di ruang expedisi kantor HO,2.0,2025-02-04
pemasangan lampu ,3.0,2.0,Selesai, pemasangan lampu dan pergantian rumah di gudang ciberum ,2.0,2025-02-04
perbaikan puntu gerbang ,3.0,2.0,Selesai,perbaikan dan pengelasan pintu gerbang di gudang produksi ,2.0,2025-02-04
perbaikan mesin tepung ,3.0,2.0,Selesai,Pengantian camstater dimesin 100 klio yg G DKASSET 1031 Sebelum dan sesudah digant,2.0,2025-02-04
pemasangan kipas ,3.0,2.0,Selesai,pemasangan kipas angin pada tembok ruang produksi ciberum ,2.0,2025-02-04
perbaikan yang bocor  dikantor tsp ,3.0,1.0,Selesai,perbaikan yang bocor di kantor tsp pakai no drop ,2.0,2025-02-04
pemasangan spanduk di kantor tsp ruang  finace ,3.0,,Selesai,pemasangan spanduk di ruang finace ,2.0,2025-02-04
pencekan ac di brp finace ,3.0,,Selesai,setelah di cek harus di isi preon ,2.0,2025-02-04
pemasangan spanduk di kantor brpp ruang  finace ,3.0,,Selesai,pemasangan spanduk di kantor BRP ,2.0,2025-02-04
koordinasi vendor maintenance adi hernandi,1.0,15.0,Selesai,koordinasi vendor maintenance chiller di poultry mengalami konsleting saat pemadaman,2.0,2025-02-05
koordinasi dengan aset,1.0,15.0,Selesai,"pengajuan,serah terima brang dan pengambilan riley otomatis bekas",2.0,2025-02-05
koordinasi staff PLN bukit tinggi,1.0,15.0,Selesai,konfirmasi biaya dan pembayaran naik daya stokis bukit tinggi,2.0,2025-02-05
koordinasi dengan humas dan security,,15.0,Progres,pembuatan portal jalan jatmika dan arah ke bendungan,2.0,2025-02-05
pembuatan memo kerusakan,1.0,15.0,Selesai,memo kerusakan kursi spv media,2.0,2025-02-05
koordinasi spv AR,,15.0,Selesai,perbaikan ac 3 titik di kantor BRP di agendakan sbtu,2.0,2025-02-05
koordinasi HRD,1.0,15.0,Selesai,"terkait approval cuti talenta,dashboard karyawan dan izin pinjam ruangan interview",2.0,2025-02-05
cek kondisi mesin chiller poultry,8.0,15.0,Selesai,kondisi dalam keadaan mati akibat listrik padam,2.0,2025-02-05
koordinasi bersama HRD,1.0,9.0,Selesai,koordinasi tentang aplikasi talenta bersama HRD,2.0,2025-02-05
Perbaikan ac,3.0,9.0,Selesai,pembersihan filter dan selang pembuangan ac rnd,2.0,2025-02-05
koordinasi bersama spv poultry,1.0,9.0,Selesai,pengecekan bersama spv tentang kerusakan barang yang terjadi dampak padam listrik semalam ,2.0,2025-02-05
monitoring ke group komplen ,3.0,9.0,Selesai,bales chat yang masuk ke group komplen maupun request,2.0,2025-02-05
pengukuran portal ,3.0,9.0,Selesai,pengukuran pembuatan portal di kantor HO,2.0,2025-02-05
koordinasi sama pic jatim,3.0,9.0,Selesai,koordinasi perbaikan di stokis jatim kerusakan kanopi,2.0,2025-02-05
koordinasi sama tim asset ,3.0,9.0,Selesai,koordinasi pengajuan bersama tim asset ,2.0,2025-02-05
pembuatan gambar 3D PORTAL,,9.0,Progres,Pembuatan gambar dan pembuatan Rab portal ,2.0,2025-02-05
pembuatan gambar 3D r meeting kantor ho,,9.0,Progres,pembuatan gambar 3d ruang meeting untuk pengajuan karpet ,2.0,2025-02-05
pembuatan memo kursi ,3.0,9.0,Selesai,pembuatan kerusakan kursi di ruang media,2.0,2025-02-05
Pimpin Breifing Tim OB dan CS,3.0,17.0,Selesai,"Pembahasan Terkait,Jobdesk,absensi,kedisiplinan,dan beberapa Poin penting (kepekaan terhadap areapenjadwalan GC di hari sabtu)",2.0,2025-02-05
Kordinasi dengan Admin ,3.0,17.0,Selesai,"Terkait pengajuan Barang,kebutuhan perbaikan selang wastafel kantor kemitraan,Handsoap,Rembeus uang tambal ban motor oprasional",2.0,2025-02-05
Kordinasi dengan Finance,3.0,17.0,Selesai,kordinasi pengajuan snak dan LPJ konsumsi meeting,2.0,2025-02-05
Kordinasi dengan TIM OB dan Div lain,3.0,17.0,Selesai,"kordinasi dengan HRD titipan berkas,dan barang Rnd",2.0,2025-02-05
Monitoring Grup Ob dan Cleaning Service,3.0,17.0,Selesai,monitoring pengerjaan Area kantor dan Ceklisan,2.0,2025-02-05
Standby meeting direksi dan SM,3.0,17.0,Selesai,"standby untuk Kebutuhan Meeting snak,makan siang,Air minum dll",2.0,2025-02-05
Kordinasi dengan TIM Aset,1.0,17.0,Selesai,"Serah Terima Barang (Karbol 5 pcs,drain  otomatis,",2.0,2025-02-05
Menyalahkan genset,3.0,1.0,Selesai,Izin menyalakan genset kebetulan jalur genset bermasalah alhamdulilah sudah bisa d atasi normal kembali,2.0,2025-02-05
perbaikan panel,3.0,1.0,Selesai,Penyetingan kabel panel genset dari semalem alhamdulilah selesai,2.0,2025-02-05
pengcekan lampu ,3.0,1.0,Selesai,pengecekan lampu yang mati dampak padam listrik malam ,2.0,2025-02-05
perbaikan ac,3.0,1.0,Selesai,perbaikan ac di kantor ho ruang produksi ,2.0,2025-02-05
pemanasan genset di kantor ciberum,3.0,1.0,Selesai,pemanasan genset untuk menjaga agar tidak rusak ,2.0,2025-02-05
pendampingan vendor,3.0,1.0,Selesai,pendampingan vendor perbaikan cs di kantor ho,2.0,2025-02-05
balikann jalur dr g3nset ke pLN,3.0,2.0,Selesai,Bismilah balikann jalur dr g3nset ke pLN,2.0,2025-02-05
perbaikan mesin tepung C,3.0,2.0,Progres,Lanjut pengecekan dan perbaikan mesin yh C DKASSET 1037 yg meluarkan asap,2.0,2025-02-05
perbaikan mesin tepung A,3.0,2.0,Selesai,Ganti puli yg udah longar dan haus dimesin yh A DKASSET 1033,2.0,2025-02-05
cuti sakit,3.0,,Belum Selesai,cuti sakit,0.0,2025-02-05
koordinasi spv poultry,,15.0,Selesai,terkait memo perluasan area bumbu,2.0,2025-02-06
koordinasi spv stokis jabar 2,1.0,15.0,Progres,naik daya  stokis katulampa,2.0,2025-02-06
koordinasi PIC JATENG,1.0,15.0,Progres,Naik daya kantor stokis Semarang,2.0,2025-02-06
koordinasi dengan aset,1.0,15.0,Selesai,"pengajuan,serah terima barang dan LPJ",2.0,2025-02-06
update spreadsheet,1.0,15.0,Progres,"jobdesk harian teknisi,data maintenance,waitinglist",2.0,2025-02-06
koordinasi spv poultry BANDUNG,2.0,15.0,Selesai,terkait SOP teknisi bandung,2.0,2025-02-06
update timeline 2025,1.0,15.0,Selesai,terkait penyuluhan SOP teknisi bandung,2.0,2025-02-06
koordianasi SPV wheat,,15.0,Selesai,pemasangan sekat dan memo kerusakan kipas angin,2.0,2025-02-06
MONITORING GRUP,1.0,15.0,Selesai,"REQ DAN KOMPLAIN,TEKNISI,CLEANING DLL",2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kunjungan ke Bandung,8.0,9.0,Selesai,Kunjungan ke Bandung,2.0,2025-02-06
Kordinasi dengan Tim Aset ,1.0,17.0,Selesai,"serah Terima barang soda Api,Tombol Panel,",2.0,2025-02-06
Kordinasi dengan Admin,3.0,17.0,Selesai,Kordinasi untuk ntuk kantor tspu ngajuan knop kompor gas,2.0,2025-02-06
Kordinasi dengan Finance,3.0,17.0,Selesai,"Kordinasi terkait LPJ,dan pengajuan konsumsi meeting",2.0,2025-02-06
Pengecekan Kantor TSP,1.0,17.0,Selesai,"Pengecekan Kerusakan,kebersihan dan kebutuhan kantor",2.0,2025-02-06
Kordinasi dengan mantenance ,3.0,17.0,Selesai,Kordinasi untuk pemasangan drain selokan kamar mandi ruangan HU dan perbaikan Selokan kamar mandi tengah kantor TSP yang mampet,2.0,2025-02-06
Update data di spredshet,3.0,17.0,Selesai,Update data ceklisan OB dan CS,2.0,2025-02-06
Kordinasi dengan Tim HRD ,3.0,17.0,Selesai,Kordinasi terkait penggunaan ruang meeting dan konsumsi untuk acara Sosialisasi HRD,2.0,2025-02-06
Pengecekan kantor kemitraan TSP,3.0,17.0,Selesai,"Pengecekan Kerusakan,kebersihan dan kebutuhan kantor",2.0,2025-02-06
Pengecekan Area kantor BRP,3.0,17.0,Selesai,"Pengecekan Kerusakan,kebersihan dan kebutuhan kantor",2.0,2025-02-06
sekat ruangan cibereum,,1.0,Selesai,potong rangka baja,2.0,2025-02-06
sekat ruangan cibereum,,1.0,Progres,pasang gypsum,2.0,2025-02-06
perbaikan mesin tambler,3.0,1.0,Selesai,pemasangan tombol on off,2.0,2025-02-06
cek AC ruangan poultry,3.0,2.0,Selesai,ac mati tidak bisa menyala dan tidak pakai remot,2.0,2025-02-06
cek AC ruangan poultry,3.0,2.0,Selesai,sudah diperbaiki bagian sensor dan power bermasalah,2.0,2025-02-06
pemindahan whiteboard,3.0,2.0,Selesai,bongkar pasang wb di ruangan poultry baru,2.0,2025-02-06
sekat ruangan cibereum,,2.0,Selesai,potong rangka baja,2.0,2025-02-06
sekat ruangan cibereum,,2.0,Progres,pasang gypsum,2.0,2025-02-06
pasang drain kamar mandi head unit,3.0,,Selesai,pasang drain kamar mandi head unit,2.0,2025-02-06
perbaikan wc tsp tengah,3.0,,Selesai,pemakaian soda api di drain wc,2.0,2025-02-06
pengecekan selokan TSP,2.0,,Selesai,pengecekan  semua jalur air pembuangan  kamar mandi menuju saluran pembuangan depan kantor TSP.,2.0,2025-02-06
pengecekan selokan TSP,2.0,,Selesai,"problem balik nya air kamar mandi tengah, dari mampet nya jalur pipa pembuangan arah depan gerbang.",2.0,2025-02-06
perbaikan AC,3.0,,Selesai,penambalan selang pembuangan AC yang bocor di ruang meja pak ARIES Office finance.,2.0,2025-02-06
perbaikan jalur air,,,Selesai,perbaikan instalasi air di kantor TSP selesai dan sudah normal kembali,2.0,2025-02-06
pengecekann mesin chiller,1.0,15.0,Selesai,cek mesin chiler yang rusak setelah di perbaiki,2.0,2025-02-07
update spreadsheet,1.0,15.0,Selesai,"jobdeslk Harian,data maintenance",2.0,2025-02-07
koordinasi dengan PLN,1.0,15.0,Selesai,naik daya stokis semarang dan validasi data,2.0,2025-02-07
koordinasi dengan PLN,1.0,15.0,Selesai,naik daya stokis katulampa dan validasi data,2.0,2025-02-07
koordinasi PIC sumatara,1.0,15.0,Progres,terkait restitusi naik daya stokis DURI yang belum cair,2.0,2025-02-07
monitoring vendor aquarium,,15.0,Selesai,maintenance aquarium dan penambahan ikan 200pcs,2.0,2025-02-07
koordinasi dengan aset,1.0,15.0,Selesai,"pengajuan,serah terima barang dan LPJ",2.0,2025-02-07
koordinasi spv busdev,1.0,15.0,Selesai,renovasi ex holding cikarang,2.0,2025-02-07
inspeksi ,1.0,9.0,Selesai,pengecekan alat teknisi di bandung ,2.0,2025-02-07
koordinasi sama spv bandung,3.0,9.0,Selesai,koordinasi bersama pak kandi terkait teknisi bandung ,2.0,2025-02-07
pengukuran bersama vendor ,,9.0,Selesai,pengukuran bersama vendor untuk renovasi kanrtor bandung ,2.0,2025-02-07
pengawasan proyek renovasi ,1.0,9.0,Selesai,pengawasan proyek renovasi yang di lakukan oleh tim vendor dari devloper ,2.0,2025-02-07
pembuatan gambar 3d portal ,,9.0,Selesai,pembuatan gambar 3d portal ho ,2.0,2025-02-07
koordiansi pembuatan gambar kantor semarang ,3.0,9.0,Selesai,korrdinasi bersama tim pic searang terkait renovasi ,2.0,2025-02-07
monitoring ke group komplen ,3.0,9.0,Selesai,bales chat yang masuk ke group komplen maupun request,2.0,2025-02-07
pengajuan ke divisi aset ,3.0,9.0,Selesai,pengjuan kebutuhan mess SM di bandung ,2.0,2025-02-07
koordinasi perbaikan kantor bandung ,3.0,9.0,Selesai,koordinasi perbaikan foling gead bersama tim teknisi bandung ,2.0,2025-02-07
Update spreadsheet Waiting List dan Data Maintenance,3.0,9.0,Selesai,update pekerjaan harian teknisi yang sudah selesai dan masih terpending ,2.0,2025-02-07
gambar 3 gudang  bandung ,,9.0,Progres,perapihan denah gambar renovasi kantor bandung ,0.0,2025-02-07
Membuat memo ,3.0,17.0,Selesai,Memo untuk pembuatan stiker Himbauaan sabun dan alat mandi umtuk di kantor TSP,2.0,2025-02-07
Kordinasi dengan finance,3.0,17.0,Selesai,kordinasi Terkait Lpj konsumsi meeting,2.0,2025-02-07
Pendampingan Vendor Aquarium,1.0,17.0,Selesai,"Pndampingan vendor untuk pembersihan dan pengisian Aquarium,dan kordinasi untuk pemeliharaannya",2.0,2025-02-07
Kordiansi dengan Tim Aset,3.0,17.0,Selesai,Kordinasi Update pengadaan Barang,2.0,2025-02-07
Update data spredshet,3.0,17.0,Selesai,Udate data Ceklisan OB dan CS,2.0,2025-02-07
Kordinasi dengan Tim dan Div ,3.0,17.0,Selesai,Kordinasi dan pemantauan pengantaran Berkas dan Barang,2.0,2025-02-07
Monitoring grup CS dan OB,3.0,17.0,Selesai,"pemantauan Terkait Kebersihan,Kerapihan dan Kebutuhan Kantor",2.0,2025-02-07
Pengecekan area Kantor TSP,1.0,17.0,Selesai,"Pengecekan Terkait  Kerusakan,Kebersihan,dan Kerapihan ",2.0,2025-02-07
perbaikan mesin chiller,,1.0,Selesai,pemasangan seleoid coil yang rusak akibat over voltage,2.0,2025-02-07
meeting HRD,8.0,1.0,Selesai,meeting di hrd,2.0,2025-02-07
perbaikan mesin cs,3.0,1.0,Selesai,Bismilah pemasangan palep danfiss cs kiri,2.0,2025-02-07
sekat ruangan cibereum,,1.0,Selesai,pasang gypsum,2.0,2025-02-07
sekat ruangan cibereum,3.0,1.0,Selesai,Pengomponan partisi,2.0,2025-02-07
meeting HRD,8.0,2.0,Selesai,meeting di hrd,2.0,2025-02-07
